--file to keep track of event ids, doesn't impact game
 1: AddEffect
 2: CreateCard
 3: Damage
 4: Destroy
 5: Transform
 6: ManaChange
 7: Mulligan
 8: MinionAttack
 9: UpdateEffectState
10: MulliganPhaseEnd
11: PlayCard
12: PutCard
13: Restore
14: TurnEnd
15: TurnStart
16: Unleash
17: Necromancy
18: Banish
19: Spellboost
20: Spend
21: Discard
22: RemoveEffect
23: GainShadow
24: EventDecrementEffectTurnEndCount
25: EventEffectPerTurnCounterIncrement
26: EventEffectPerTurnCounterReset
27: Clash - DELETED, see event groups
28: GameEnd
29: MuteEffect
30: SetEffectStats
31: Blast - DELETED
